ym;kraj;okres;suma_spolu;pocet;priemerna_suma;strana
2011-10-01;Košický kraj;Trebišov;2530561.612;154;16432.2182597403;objednavatel
2011-10-01;Nitriansky kraj;Komárno;167766.26;11;15251.4781818182;objednavatel
2011-10-01;Nitriansky kraj;Levice;164199.52;38;4321.04;objednavatel
2011-10-01;Nitriansky kraj;Nitra;1727424.286;197;8768.65119796954;objednavatel
2011-10-01;Nitriansky kraj;Nové Zámky;1787722.75;60;29795.3791666667;objednavatel
2011-10-01;Nitriansky kraj;Šaľa;44820;2;22410;objednavatel
2011-10-01;Nitriansky kraj;Topoľčany;26293.46;11;2390.31454545455;objednavatel
2011-10-01;Nitriansky kraj;Zlaté Moravce;35251.2;22;1602.32727272727;objednavatel
2011-10-01;Prešovský kraj;Bardejov;17297300.427;163;106118.407527607;objednavatel
2011-10-01;Prešovský kraj;Humenné;2618.3;11;238.027272727273;objednavatel
2011-10-01;Prešovský kraj;Kežmarok;6713.8;8;839.225;objednavatel
2011-10-01;Prešovský kraj;Levoča;11694.62;18;649.701111111111;objednavatel
2011-10-01;Prešovský kraj;Medzilaborce;1816.4;6;302.733333333333;objednavatel
2011-10-01;Prešovský kraj;Poprad;22842.45;7;3263.20714285714;objednavatel
2011-10-01;Prešovský kraj;Prešov;3073.26;4;768.315;objednavatel
2011-10-01;Prešovský kraj;Sabinov;2075.7;6;345.95;objednavatel
2011-10-01;Prešovský kraj;Snina;3941.9;43;91.6720930232558;objednavatel
2011-10-01;Prešovský kraj;Stará Ľubovňa;691.9;9;76.8777777777778;objednavatel
2011-10-01;Prešovský kraj;Stropkov;0;2;0;objednavatel
2011-10-01;Prešovský kraj;Svidník;8000;4;2000;objednavatel
2011-10-01;Prešovský kraj;Vranov nad Topľou;50455.79;51;989.329215686275;objednavatel
2011-10-01;Trenčiansky kraj;Bánovce nad Bebravou;0;1;0;objednavatel
2011-10-01;Trenčiansky kraj;Ilava;86103.97;27;3189.03592592593;objednavatel
2011-10-01;Trenčiansky kraj;Myjava;1000;2;500;objednavatel
2011-10-01;Trenčiansky kraj;Nové Mesto nad Váhom;1466.42;4;366.605;objednavatel
2011-10-01;Trenčiansky kraj;Partizánske;653037.04;24;27209.8766666667;objednavatel
2011-10-01;Trenčiansky kraj;Považská Bystrica;8148.63;2;4074.315;objednavatel
2011-10-01;Trenčiansky kraj;Prievidza;42859.4;35;1224.55428571429;objednavatel
2011-10-01;Trenčiansky kraj;Púchov;691.9;2;345.95;objednavatel
2011-10-01;Trenčiansky kraj;Trenčín;13509852.864;143;94474.4955524476;objednavatel
2011-10-01;Trnavský kraj;Dunajská Streda;94365.26;32;2948.914375;objednavatel
2011-10-01;Trnavský kraj;Galanta;3969.6;6;661.6;objednavatel
2011-10-01;Trnavský kraj;Hlohovec;205523.4504;47;4372.83937021277;objednavatel
2011-10-01;Trnavský kraj;Piešťany;339440.35;27;12571.8648148148;objednavatel
2011-10-01;Trnavský kraj;Senica;1383.8;5;276.76;objednavatel
2011-10-01;Trnavský kraj;Skalica;0;1;0;objednavatel
2011-10-01;Trnavský kraj;Trnava;652042.26;109;5982.03908256881;objednavatel
2011-10-01;Žilinský kraj;Čadca;1082716.02;28;38668.4292857143;objednavatel
2011-10-01;Žilinský kraj;Dolný Kubín;772721.46;55;14049.4810909091;objednavatel
2011-10-01;Žilinský kraj;Kysucké Nové Mesto;691.9;2;345.95;objednavatel
2011-10-01;Žilinský kraj;Liptovský Mikuláš;146009;17;8588.76470588235;objednavatel
2011-10-01;Žilinský kraj;Martin;21283571.9295;114;186697.999381579;objednavatel
2011-10-01;Žilinský kraj;Námestovo;74332.9;19;3912.25789473684;objednavatel
2011-10-01;Žilinský kraj;Ružomberok;14990737.25;82;182813.868902439;objednavatel
2011-10-01;Žilinský kraj;Tvrdošín;6966.9;2;3483.45;objednavatel
2011-10-01;Žilinský kraj;Žilina;11048698.633;144;76727.0738402778;objednavatel
2011-11-01;Banskobystrický kraj;Banská Bystrica;11973353.79;473;25313.6443763214;objednavatel
2011-11-01;Banskobystrický kraj;Banská Štiavnica;65901.56;17;3876.56235294118;objednavatel
2011-11-01;Banskobystrický kraj;Brezno;116632.85;15;7775.52333333333;objednavatel
2011-11-01;Banskobystrický kraj;Detva;40000;5;8000;objednavatel
2011-11-01;Banskobystrický kraj;Krupina;101969.48;8;12746.185;objednavatel
2011-11-01;Banskobystrický kraj;Lučenec;182661.39;35;5218.89685714286;objednavatel
2011-11-01;Banskobystrický kraj;Poltár;40000;2;20000;objednavatel
2011-11-01;Banskobystrický kraj;Revúca;143115.35;25;5724.614;objednavatel
2011-11-01;Banskobystrický kraj;Rimavská Sobota;238710.98;48;4973.14541666667;objednavatel
2011-11-01;Banskobystrický kraj;Veľký Krtíš;89573.98;17;5269.05764705882;objednavatel
2011-11-01;Banskobystrický kraj;Zvolen;5593549;152;36799.6644736842;objednavatel
2011-11-01;Banskobystrický kraj;Žarnovica;1422.96;3;474.32;objednavatel
2011-11-01;Banskobystrický kraj;Žiar nad Hronom;169448.81;16;10590.550625;objednavatel
2011-11-01;Bratislavský kraj;BA;915536837.48;8653;105805.713334104;objednavatel
2011-11-01;Bratislavský kraj;Malacky;167973.15;4;41993.2875;objednavatel
2011-11-01;Bratislavský kraj;Pezinok;531472.1;47;11307.9170212766;objednavatel
2011-11-01;Bratislavský kraj;Senec;691.9;1;691.9;objednavatel
2011-11-01;Košický kraj;Gelnica;140000;7;20000;objednavatel
2011-11-01;Košický kraj;KE;6732954.32;423;15917.1496926714;objednavatel
2011-11-01;Košický kraj;Košice-okolie;844255.8;30;28141.86;objednavatel
2011-11-01;Košický kraj;Michalovce;3090907.98;34;90909.0582352941;objednavatel
2011-11-01;Košický kraj;Rožňava;59804.83;9;6644.98111111111;objednavatel
2011-11-01;Košický kraj;Sobrance;177178.88;21;8437.08952380952;objednavatel
2011-11-01;Košický kraj;Spišská Nová Ves;74834.72;11;6803.15636363636;objednavatel
2011-11-01;Košický kraj;Trebišov;993196.327;281;3534.50650177936;objednavatel
2011-11-01;Nitriansky kraj;Komárno;39344;15;2622.93333333333;objednavatel
2011-11-01;Nitriansky kraj;Levice;50118.82;38;1318.91631578947;objednavatel
2011-11-01;Nitriansky kraj;Nitra;4915720.04;176;27930.2275;objednavatel
2011-11-01;Nitriansky kraj;Nové Zámky;383981.85;41;9365.41097560976;objednavatel
2011-11-01;Nitriansky kraj;Šaľa;691.9;2;345.95;objednavatel
2011-11-01;Nitriansky kraj;Topoľčany;32128.08;10;3212.808;objednavatel
2011-11-01;Nitriansky kraj;Zlaté Moravce;85812.06;12;7151.005;objednavatel
