predmet;zs1;zs2;NazovRezortu;datum_ucinnost;datum_platnost_do;suma_spolu;link
Zmluva o poskytnutí prostriedkov štátneho rozpočtu na základe uznesenia vlády SR č. 377/2018;Ministerstvo dopravy a výstavby SR;Bratislavský samosprávny kraj;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-02;NA;7200000;http://www.crz.gov.sk/index.php?ID=3664992
zhotovenie stavebných prác: „Sociálna poisťovňa, ústredie – modernizácia areálu na Nevädzovej ulici v Bratislave“, dodatok č. 1;Sociálna poisťovňa, ústredie;DOPRASTAV – INGSTEEL­ Nevädzova;Sociálna poisťovňa;NA;NA;6687026.04;http://www.crz.gov.sk/index.php?ID=3692988
Zmluva o poskytnutí nenávratného finančného príspevku;Ministerstvo životného prostredia Slovenskej republiky;Slovenská agentúra životného prostredia;Ministerstvo životného prostredia SR;2018-10-02;2028-12-31;6562863.98;http://www.crz.gov.sk/index.php?ID=3663749
Dodatok číslo 4 432/2017-310/MPRV SR/D4 ku Kontraktu číslo 432/2017-310/MPRV SR;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;Národné poľnohospodárske a potravinárske centrum;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-16;NA;6342465;http://www.crz.gov.sk/index.php?ID=3689737
Zmluva o poskytnutí finančných prostriedkov;Ministerstvo hospodárstva Slovenskej republiky;Brose Prievidza, spol. s r.o. ;Ministerstvo hospodárstva SR ;2018-10-18;NA;4975988.93;http://www.crz.gov.sk/index.php?ID=3694482
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Č. Z311071P508;Sociálna poisťovňa, ústredie;Ministerstvo dopravy a výstavby Slovenskej republiky;Sociálna poisťovňa;NA;NA;4971150;http://www.crz.gov.sk/index.php?ID=3689740
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Č. Z311071P508 ;Sociálna poisťovňa;Ministerstvo dopravy a výstavby Slovenskej republiky;Úrad podpredsedu vlády SR pre investície a informatizáciu;2018-10-11;NA;4971150;http://www.crz.gov.sk/index.php?ID=3684991
Zmluva o dielo;VODOHOSPODÁRSKA VÝSTAVBA, ŠTÁTNY PODNIK;STABIL, a.s.;Ministerstvo životného prostredia SR;2018-10-12;NA;4026000;http://www.crz.gov.sk/index.php?ID=3686674
Rámcová dohoda č. 180-2018-RD;Východoslovenský ústav srdcových a cievnych chorôb, Košice;UNOMED  spol. s.r.o.;Ministerstvo zdravotníctva SR;2018-10-12;2022-10-12;3752726.4;http://www.crz.gov.sk/index.php?ID=3685571
Zmluva na dodávky hnedého uhlia na roky 2018-2019;Martinská teplárenská, a.s.;SLOVENERGO spol. s.r.o.;Ministerstvo hospodárstva SR ;2018-10-19;2019-03-31;3383100;http://www.crz.gov.sk/index.php?ID=3696486
Dodatok č. 1 k  Z M L U V E  o poskytovaní služieb pri prevádzke APV ŽoD, APV Pisáreň, APV EZ, APV AIS pre JVP, APV OAS, APV CDS a APV ePortal;Sociálna poisťovňa, ústredie;Atos IT Solutions and Services s.r.o.;Sociálna poisťovňa;2018-10-18;NA;2532000;http://www.crz.gov.sk/index.php?ID=3694758
Rámcová dohoda;Centrum vedecko-technických informácií SR;Asseco Central Europe, a.s.;Ministerstvo školstva, vedy, výskumu a športu SR;2018-10-16;NA;2334173.74;http://www.crz.gov.sk/index.php?ID=3691152
I/76 Šarovce kruhová križovatka-Kalná nad Hronom-oprava cesty;Slovenská správa ciest, Bratislava;CESTY NITRA a. s.generálne riaditeľstvo;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-04;NA;2218582.12;http://www.crz.gov.sk/index.php?ID=3668821
Čiastková kúpna zmluva;Fakultná nemocnica s poliklinikou F. D. Roosevelta, Banská Bystrica;Artspect spol. s r.o.;Ministerstvo zdravotníctva SR;2018-10-02;NA;2140557.32;http://www.crz.gov.sk/index.php?ID=3664540
Rámcová dohoda č. OVO1-2018/000079-022;Ministerstvo vnútra SR (Sekcia hnuteľného majetku a nehnuteľného majetku);DREVONA INTERIORS s.r.o.;Ministerstvo vnútra SR;2018-10-05;NA;2122626;http://www.crz.gov.sk/index.php?ID=3671209
Zmluva o poskytnutí nenávratného finančného príspevku;Slovenská agentúra životného prostredia;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik;Ministerstvo životného prostredia SR;2018-10-02;2028-12-31;2072086.27;http://www.crz.gov.sk/index.php?ID=3664000
ZMLUVA O DIELO;Železnice Slovenskej republiky;REMING CONSULT a.s.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-18;NA;2049000;http://www.crz.gov.sk/index.php?ID=3693931
Dohoda o čerpaní prostriedkov Fondu technickej asistencie v rámci Finančného mechanizmu Európskeho hospodárskeho priestoru a Nórskeho finančného mechanizmu v programovom období 2014 – 2021;Úrad vlády SR;Ministerstvo financií Slovenskej republiky;Úrad vlády SR;2018-10-12;NA;1995883;http://www.crz.gov.sk/index.php?ID=3686606
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Číslo zmluvy: KŽP-PO4-SC431-2017-19/K486 ;Ministerstvo životného prostredia Slovenskej republiky;Žilinská univerzita v Žiline ;Ministerstvo hospodárstva SR ;2018-10-16;NA;1987020.63;http://www.crz.gov.sk/index.php?ID=3689640
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Číslo zmluvy: KŽP-PO4-SC431-2017-19/J602;Ministerstvo životného prostredia Slovenskej republiky;Národné lesnícke centrum;Ministerstvo hospodárstva SR ;2018-10-09;NA;1942158.96;http://www.crz.gov.sk/index.php?ID=3680910
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU;Národné lesnícke centrum;Ministerstvo životného prostredia Slovenskej republiky v zastúpení Slovenská inovačná a energetická agentúra;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;NA;NA;1942158.96;http://www.crz.gov.sk/index.php?ID=3683768
Zmluva o poskytnutí NFP č. IROP-Z-302011N333-122-15;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;Mesto Martin;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-03;2028-12-31;1931726.06;http://www.crz.gov.sk/index.php?ID=3666796
Kúpna zmluva č. 01258/2018-PKZ-K40233/18.00 - NDS, a.s., k. ú. Podunajské Biskupice;Národná diaľničná spoločnosť, a.s.;Slovenský pozemkový fond;Slovenský pozemkový fond;2018-10-28;NA;1662213.31;http://www.crz.gov.sk/index.php?ID=3696260
Zmluva o dielo;Prešovská univerzita v Prešove;DelCom Slovakia a.s.;Prešovská univerzita v Prešove;2018-10-16;NA;1548391.81;http://www.crz.gov.sk/index.php?ID=3689704
Zmluva o poskytnutí dotácie na podporu rozvoja priemyselnej výroby a služieb v roku 2018;Ministerstvo hospodárstva Slovenskej republiky;Obec Kostolné Kračany;Ministerstvo hospodárstva SR ;2018-10-17;NA;1496304.96;http://www.crz.gov.sk/index.php?ID=3692588
Dodatok č. 1 k Zmluve č. 145/2018/MPRVSR-310 o poskytovaní audítorských služieb uzatvorená podľa § 269 ods. 2 zákona č. 513/1991 Zb. Obchodného zákonníka v znení neskorších predpisov;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;Deloitte Audit s.r.o.;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-04;2019-12-31;1463486.4;http://www.crz.gov.sk/index.php?ID=3669299
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Číslo zmluvy: KŽP-PO4-SC431-2017-19/F911;Ministerstvo životného prostredia Slovenskej republiky;Národné poľnohospodárske a potravinárske centrum;Ministerstvo hospodárstva SR ;2018-10-05;NA;1367943.69;http://www.crz.gov.sk/index.php?ID=3670593
Zmluva o poskytnutí nenávratného finančného príspevku ;Národné poľnohospodárske a potravinárske centrum;Ministerstvo životného prostredia Slovenskej republiky;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-09;NA;1367943.69;http://www.crz.gov.sk/index.php?ID=3679870
Zmenový list 012/2018;Finančné riaditeľstvo SR;ASSECo Central Europe a.s.;Ministerstvo financií SR;2018-10-19;NA;1316820.65;http://www.crz.gov.sk/index.php?ID=3696818
Opravy ciest I. triedy: I/16 Vidiná – Pinciná;Slovenská správa ciest, Bratislava;FREKOMOS SK, s.r.o.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-17;2018-12-31;1308021.3;http://www.crz.gov.sk/index.php?ID=3692212
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU, Číslo zmluvy: KŽP-P04-SC431-2017-19/K489;Žilinská univerzita v Žiline;Ministerstvo životného prostredia Slovenskej republiky / v zastúpení: Slovenská inovačná a energetická agentúra;Žilinská univerzita v Žiline;2018-10-04;NA;1298718.4;http://www.crz.gov.sk/index.php?ID=3668407
Zmluva o dielo - Povodňové zabezpečovacie práce na toku Rieka, k. ú. Čadca, rkm 0,000 - 4,100;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik;AgroMed, s.r.o. ;Ministerstvo životného prostredia SR;2018-10-17;NA;1265997.86;http://www.crz.gov.sk/index.php?ID=3693135
I/63 Šamorín - oprava cesty;Slovenská správa ciest, Bratislava;Doprast, a.s.Generálne riaditeľstvo;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-11;NA;1244883.01;http://www.crz.gov.sk/index.php?ID=3684316
Zmluva o dielo - Povodňové zabezpečovacie práce na toku Rieka, k. ú. Čadca, rkm 0,000 - 4,100 ;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik;D.A.L., spol. s r.o. ;Ministerstvo životného prostredia SR;2018-10-17;NA;1223946.94;http://www.crz.gov.sk/index.php?ID=3693131
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Číslo zmluvy: KŽP-PO4-SC431-2017-19/K303;Ministerstvo životného prostredia Slovenskej republiky;Spojená škola internátna, Poľná 1, Trebišov s OZ: OU intern., Poľná 1, TV, Prakt.škola intern., Poľná 1, TV, Špec.ZŠ intern., Poľná 1, TV, CŠPP, Poľná 1;Ministerstvo hospodárstva SR ;2018-10-19;NA;1213096.38;http://www.crz.gov.sk/index.php?ID=3695485
Kúpna zmluva č. 00786/2017-PKZ-K40165/17.00 - NDS, a.s., k. ú. Brodno, okres Žilina;Národná diaľničná spoločnosť;Slovenský pozemkový fond;Slovenský pozemkový fond;2018-10-28;NA;1095542.71;http://www.crz.gov.sk/index.php?ID=3696256
zmluva o dielo;Železnice Slovenskej republiky;AŽD SLOVAKIA a.s.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-03;NA;1091405;http://www.crz.gov.sk/index.php?ID=3666982
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU, Číslo zmluvy: KŽP-P04-SC431-2017-19/K490;Žilinská univerzita v Žiline;Ministerstvo životného prostredia Slovenskej republiky / v zastúpení: Slovenská inovačná a energetická agentúra;Žilinská univerzita v Žiline;2018-10-02;NA;1091282.92;http://www.crz.gov.sk/index.php?ID=3664016
Zmluva o poskytnutí NFP č. IROP-Z-302041M822-421-19;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;Východoslovenská vodárenská spoločnosť, a.s. Košice;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-18;2028-12-31;1059415.96;http://www.crz.gov.sk/index.php?ID=3694839
Zmluva o dielo - Povodňové zabezpečovacie práce na toku Rieka, k. ú. Čadca, rkm 0,000 - 4,100;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik;ROSSETA s.r.o.;Ministerstvo životného prostredia SR;2018-10-17;NA;1010777.65;http://www.crz.gov.sk/index.php?ID=3693133
Zmluva o poskytnutí dotácie na rok 2018;Vojenské lesy a majetky SR, štátny podnik;Ministerstvo obrany ;Ministerstvo obrany SR;2018-10-09;NA;1e+06;http://www.crz.gov.sk/index.php?ID=3681227
Rámcová dohoda - Realizácia záchytných bezpečnostných zariadení - tlmičov nárazu pre diaľnice, rýchlostné cesty a cesty vo vlastníctve NDS, a.s.;Národná diaľničná spoločnosť, a.s.;Pa3k s.r.o./SAROUTE, s.r.o.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-10;2022-10-09;1e+06;http://www.crz.gov.sk/index.php?ID=3682476
Zmluva o poskytnutí nenávratného finančného príspevku č. 083BB020003;Pôdohospodárska platobná agentúra;EKOLES, s.r.o.;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-10;NA;992689.56;http://www.crz.gov.sk/index.php?ID=3682216
Zmluva o poskytnutí nenávratného finančného príspevku č. 083BB020003;Pôdohospodárska platobná agentúra;EKOLES, s.r.o.;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-10;NA;992689.56;http://www.crz.gov.sk/index.php?ID=3682216
Dodatok č.3 k zmluve o poskytnutí prostriedkov podpory výskumu;Archeologický ústav Slovenská akadémia vied;Slovenská akadémia vied;Slovenská akadémia vied;2018-10-06;NA;936731.41;http://www.crz.gov.sk/index.php?ID=3673406
Rámcová dohoda o poskytovaní eletronických komunikačných služieb;Národná diaľničná spoločnosť, a.s.;Slovak Telekom, a.s.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-10;NA;920000;http://www.crz.gov.sk/index.php?ID=3682744
I/51 Holíč - Trnovec - oprava cesty;Slovenská správa ciest, Bratislava;Swietelsky- Slovakia, spol. s r.o.Ing. Peter Nagy;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-03;NA;895990.1;http://www.crz.gov.sk/index.php?ID=3666479
Kúpna zmluva;Technická univerzita v Košiciach;elfa, s.r.o.;Technická univerzita v Košiciach;2018-10-15;NA;887999.98;http://www.crz.gov.sk/index.php?ID=3666105
Zmluva o vykonávaní servisných prác meteozariadenia Vaisala;Národná diaľničná spoločnosť, a.s.;SPINET a.s.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-06;2022-10-05;869920;http://www.crz.gov.sk/index.php?ID=3673650
Zmluva o zámene správy nehnuteľného  majetku štátu;Ministerstvo práce, sociálnych vecí a rodiny SR;Slovenská republika Slovenský hospodársky podnik, štátny podnik;Ministerstvo práce, sociálnych vecí a rodiny SR;2018-10-16;NA;860000;http://www.crz.gov.sk/index.php?ID=3691042
Zmluva o zámene správy nehnuteľného majetku štátu - v k.ú. Radvaň a k.ú. Štrba;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik;Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky;Ministerstvo životného prostredia SR;2018-10-19;NA;860000;http://www.crz.gov.sk/index.php?ID=3695811
Rámcová dohoda č. 181-2018-RD;Východoslovenský ústav srdcových a cievnych chorôb, Košice;MEDITRADE spol. s.r.o.;Ministerstvo zdravotníctva SR;2018-10-12;2022-10-12;837112.08;http://www.crz.gov.sk/index.php?ID=3685750
Zmluva na poskytnutie služby;Technická univerzita v Košiciach;elfa, s. r. o.;Technická univerzita v Košiciach;2018-10-18;NA;813444;http://www.crz.gov.sk/index.php?ID=3692104
Rámcová dohoda  o poskytovaní univerzálnych poštových služieb;Národné centrum zdravotníckych informácií, Bratislava;Slovenská pošta, a.s.;Ministerstvo zdravotníctva SR;2018-10-05;NA;8e+05;http://www.crz.gov.sk/index.php?ID=3671231
Kúpna zmluva;Univerzitná nemocnica Bratislava;KON - RAD spol. s r.o.;Elektronický kontraktačný systém;2018-10-12;NA;792500;http://www.crz.gov.sk/index.php?ID=3687129
Rámcová dohoda č. 183-2018-RD;Východoslovenský ústav srdcových a cievnych chorôb, Košice;Operatíva, medicínska spoločnosť s.r.o.;Ministerstvo zdravotníctva SR;2018-10-12;2022-10-12;787152;http://www.crz.gov.sk/index.php?ID=3686115
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Číslo zmluvy: KŽP-PO4-SC431-2017-19/J538 ;Ministerstvo životného prostredia Slovenskej republiky;Univerzita Mateja Bela v Banskej Bystrici;Ministerstvo hospodárstva SR ;2018-10-10;NA;777800.34;http://www.crz.gov.sk/index.php?ID=3681835
Zmluva o dielo č. 18/2018 "SOŠ pre ŽSPI v Kremnici - zníženie energetickej náročnosti verejných budov  02" ;Stredná odborná škola pre žiakov so sluchovým postihnutím internátna Kremnica;PUR - STAV KB s. r. o. ;Ministerstvo školstva, vedy, výskumu a športu SR;2018-10-02;2024-07-31;767997.88;http://www.crz.gov.sk/index.php?ID=3663811
Čiastková zmluva č. 2 k Rámcovej dohode č. 01/2018;Poľnonákup TATRY, a.s.;KT Trade Slovakia s.r.o.;Správa štátnych hmotných rezerv SR;2018-10-19;2019-01-18;767699.625;http://www.crz.gov.sk/index.php?ID=3695740
Rámcová dohoda č. 182-2018-RD;Východoslovenský ústav srdcových a cievnych chorôb, Košice;TIMED s.r.o.;Ministerstvo zdravotníctva SR;2018-10-12;2022-10-12;765524.64;http://www.crz.gov.sk/index.php?ID=3685891
Zmluva o vyplňovacom práve k blankozmenke;Ministerstvo životného prostredia Slovenskej republiky;Obec Dolná Streda;Ministerstvo životného prostredia SR;2018-10-11;NA;754417.74;http://www.crz.gov.sk/index.php?ID=3683587
Rámcová dohoda;Centrum vedecko-technických informácií SR;Spojnet s. r. o.;Ministerstvo školstva, vedy, výskumu a športu SR;2018-10-16;NA;727004.77;http://www.crz.gov.sk/index.php?ID=3691146
Zmluva o dielo;VODOHOSPODÁRSKA VÝSTAVBA, ŠTÁTNY PODNIK;RUDOS RUŽOMBEROK s.r.o. ;Ministerstvo životného prostredia SR;2018-10-06;NA;720000;http://www.crz.gov.sk/index.php?ID=3671761
Zmluva na výkon servisnej činnosti a opráv informačného systému diaľnice D1 v úseku Liptovský Mikuláš – Važec;Národná diaľničná spoločnosť, a.s.;BETAMONT s.r.o.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-09;2022-10-08;699820.68;http://www.crz.gov.sk/index.php?ID=3679853
Zmluva o poskytnutí NFP č. IROP-Z-302041M977-421-19;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;Obec Rišňovce;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-09;2028-12-31;688652.29;http://www.crz.gov.sk/index.php?ID=3680198
I/51 Trnovec-koniec obce po most-oprava cesty;Slovenská správa ciest, Bratislava;Skanska SK, a. s.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-04;NA;679842.35;http://www.crz.gov.sk/index.php?ID=3668823
I/75 Trnovec - koniec obce po most – oprava cesty;Slovenská správa ciest, Bratislava;Skanska SK, a. s.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-04;NA;679842.35;http://www.crz.gov.sk/index.php?ID=3668823
zmluva o dielo;Železnice Slovenskej republiky;KUMAT spol. s r.o.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-03;NA;640000;http://www.crz.gov.sk/index.php?ID=3667003
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Číslo zmluvy: KŽP-PO4-SC431-2017-19/G004;Ministerstvo životného prostredia Slovenskej republiky;Mesto Dobšiná;Ministerstvo hospodárstva SR ;2018-10-16;NA;625890.17;http://www.crz.gov.sk/index.php?ID=3690071
Zmluva o úvere ;Štátny fond rozvoja bývania; Vlastníci bytov a nebytových priestorov v bytovom dome, adresa: Bratislava, Znievska 1, 3,    v zastúpení Bytové družstvo Petržalka;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-05;NA;619360;http://www.crz.gov.sk/index.php?ID=3670297
Rámcová dohoda č. 91363/2018;Finančné riaditeľstvo SR;DREVONA INTERIORS s. r. o. ;Ministerstvo financií SR;2018-10-09;NA;599228.4;http://www.crz.gov.sk/index.php?ID=3680134
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Číslo zmluvy: KŽP-PO4-SC431-2017-19/I603;Ministerstvo životného prostredia Slovenskej republiky;Obec Hronské Kľačany;Ministerstvo hospodárstva SR ;2018-10-03;NA;587101.07;http://www.crz.gov.sk/index.php?ID=3667136
zmluva o dielo;Železnice Slovenskej republiky;KUMAT spol. s r.o.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-18;NA;570000;http://www.crz.gov.sk/index.php?ID=3694752
Zmluva o úvere;Štátny fond rozvoja bývania; Vlastníci bytov a nebytových priestorov v bytovom dome, adresa: Nitra Murániho 11,13,15,17,   v zastúpení Okresné stavebné bytové družstvo;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-16;NA;559820;http://www.crz.gov.sk/index.php?ID=3690437
Zmluva o poskytnutí NFP č. IROP-Z-302011K548-121-12;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;SAD Prievidza a.s.;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-16;2028-12-31;558932;http://www.crz.gov.sk/index.php?ID=3688997
Kúpna zmluva č. 01059/2018-PKZ-K40205/18.00 -NDS, a.s., k. ú. Krásna , okres Košice IV;Národná diaľničná spoločnosť, a.s.;Slovenský pozemkový fond;Slovenský pozemkový fond;2018-10-28;NA;557926.98;http://www.crz.gov.sk/index.php?ID=3696258
Kúpna zmluva č. 01567/2018-PKZ-K40286/18.00 - NDS, a.s., k. ú. Trnavka, okres Bratislava II;Národná diaľničná spoločnosť ;Slovenský pozemkový fond;Slovenský pozemkový fond;2018-10-28;NA;548455.88;http://www.crz.gov.sk/index.php?ID=3696262
Zmluva o úvere ;Štátny fond rozvoja bývania; Vlastníci bytov a nebytových priestorov v bytovom dome, adresa: Rimavská Sobota, Jánošíkova 1574/4, 6, 8, 10, 12, 14 ,  v zastúpení Mestská bytová správa, s.r.o. ;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-13;NA;526500;http://www.crz.gov.sk/index.php?ID=3687454
Zmluva o dielo č. .......;Fakultná nemocnica s poliklinikou Nové Zámky;pline s.r.o. ;Ministerstvo zdravotníctva SR;2018-10-04;NA;519000;http://www.crz.gov.sk/index.php?ID=3669391
zmluva o dielo;Železnice Slovenskej republiky;BETAMONT s.r.o.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-04;NA;503218.75;http://www.crz.gov.sk/index.php?ID=3668994
Zmluva o poskytnutí finančných prostriedkov;Ministerstvo hospodárstva Slovenskej republiky;JASPLASTIK-SK spol. s r.o. ;Ministerstvo hospodárstva SR ;2018-10-12;NA;5e+05;http://www.crz.gov.sk/index.php?ID=3686277
Zmluva o vyplňovacom práve k blankozmenke;Ministerstvo životného prostredia Slovenskej republiky;Združenie obcí Kľakovskej doliny;Ministerstvo životného prostredia SR;2018-10-13;NA;495010.8;http://www.crz.gov.sk/index.php?ID=3687743
